,group,eff_DG,eff_CA3,eff_CA2,eff_CA1v,eff_CA1d,eff_SUBv,eff_SUBd,aff_DG,aff_CA3,aff_CA2,aff_CA1v,aff_CA1d,aff_SUBv,aff_SUBd
AId,interoceptive,0.0,0.0,0.0,0.075,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIp,interoceptive,0.0,0.0,0.0,0.075,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GU,interoceptive,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISC,interoceptive,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORBv,other,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORBvl,other,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORBm,other,0.0,0.0,0.0,0.001,0.01,0.3,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORBl,other,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOs,other,0.0,0.0,0.0,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSs,perceptual,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTLp,other,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERI,other,0.0,0.0,0.0,0.01,0.0,0.0001,0.3,0.0,0.0,0.0,0.0001,0.075,0.0001,0.075
ECT,other,0.0,0.0,0.0,0.01,0.0,0.0001,0.75,0.0,0.0,0.0,0.0001,0.0001,0.01,0.01
TEa,other,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDv,perceptual,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDp,perceptual,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDd,perceptual,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDpo,perceptual,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISal,perceptual,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISll,perceptual,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISpl,perceptual,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISp,perceptual,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VISpm,perceptual,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMAa,other,0.0,0.0,0.0,0.3,0.0,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.001,0.0
BMAp,other,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.001,0.001,0.075,0.0,0.075,0.0
BLAa,other,0.0,0.0,0.0,0.075,0.0,0.001,0.0,0.0,0.0001,0.001,0.001,0.0,0.001,0.0001
BLAp,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.75,0.001,0.75,0.001,0.3,0.075
LA,other,0.0,0.0,0.0,0.075,0.0,0.001,0.0,0.0,0.3,0.001,1.0,0.01,0.75,0.001
PA,other,0.0,0.0,0.0,0.0001,0.0,0.075,0.0,0.0,0.075,0.001,0.3,0.0,0.75,0.0
EPv,other,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.01,0.0,0.3,0.0
EPd,other,0.0,0.0,0.0,0.075,0.0,0.075,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0
CLA,other,0.0,0.0,0.0,0.075,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6b,other,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEPO,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVPV,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSCH,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVa,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,other,0.0,0.0,0.0,0.0001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AVP,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADP,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0
MPO,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VLP,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCH,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
SBPV,interoceptive,0.0,0.0,0.0,0.0001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHpv,interoceptive,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHap,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHmpd,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHam,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHpm,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVHd,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHA,other,0.0,0.0,0.0,0.0001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARH,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DMHa,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.075,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0
DMHp,interoceptive,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0
DMHv,interoceptive,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0001,0.0
PVp,other,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PH,other,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.001,0.0001,0.001,0.0,0.0,0.0,0.0
MPNm,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
MPNl,other,0.0,0.0,0.0,0.0001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNa,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNc,other,0.0,0.0,0.0,0.01,0.0,0.01,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0
AHNp,other,0.0,0.0,0.0,0.001,0.0,0.3,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0
VMHa,interoceptive,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
VMHvl,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMHc,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMHdm,interoceptive,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMv,other,0.0,0.0,0.0,0.0001,0.0,0.075,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0
PMd,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.001,0.0001,0.0001,0.075,0.0001,0.075,0.0001
MM,other,0.0,0.0,0.0,0.001,0.0,0.075,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LM,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUMm,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.0001,0.0,0.0,0.0
SUMl,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.0001,0.3,0.01,0.01,0.01,0.001,0.0001,0.0001
LPO,other,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCH,interoceptive,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0
LHAa,other,0.0,0.0,0.0,0.001,0.0,0.01,0.0001,0.0,0.0001,0.0,0.0001,0.0,0.0001,0.0
LHAjvv,other,0.0,0.0,0.0,0.75,0.0,0.075,0.001,0.0,0.0001,0.0001,0.001,0.0,0.001,0.0
LHAjvd,other,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHAjp,other,0.0,0.001,0.0,0.75,0.75,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHAjd,other,0.0,0.0,0.0,0.001,0.3,0.75,1.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
LHAsfa,other,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.001,0.0,0.0001,0.0
LHAsfp,other,0.0,0.0,0.0,0.001,0.0,0.001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LHAs,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TU,interoceptive,0.0,0.0,0.0,0.0001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZI,other,0.0,0.0,0.0,0.001,0.0,0.01,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RT,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REr,other,0.0,0.0,0.0,0.075,0.0,0.75,0.075,0.0,0.0,0.0001,0.3,0.075,0.3,0.01
REc,other,0.0,0.0,0.0,0.0001,0.001,0.075,0.01,0.0,0.0,0.0,0.75,0.75,0.75,0.75
PVT,other,0.0,0.0,0.0,0.0001,0.0,0.3,0.0,0.0,0.0,0.0,0.01,0.0001,0.75,0.0
PT,other,0.0,0.0,0.0,0.0001,0.0,0.001,0.001,0.0,0.0,0.0,0.075,0.001,0.075,0.0001
AV,other,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0001,0.01,0.3,0.01
AD,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.075,0.0001,0.075
AMv,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0,0.0
AMd,other,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.75,0.0001,0.001
IAM,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.075,0.0,0.0,0.0,0.0001,0.001,0.0,0.001
LD,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0
PR,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,0.75
SMT,other,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0
MDm,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
RH,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.075,0.075,0.75
CM,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0
VAL,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.001,0.0,0.0
VM,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001
LH,other,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0
RL,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0,0.075,0.01,0.001,0.0
IF,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.075,0.0,0.075,0.075,0.001,0.0
IPN,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
CLI,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
CS,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0
DR,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.075,0.001,0.01,0.0001,0.0
SNc,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.075,0.01,0.01,0.0
SNr,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0
VTA,other,0.0,0.0,0.0,0.0001,0.0001,0.001,0.0001,0.075,0.075,0.0001,0.075,0.01,0.01,0.001
RR,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.01,0.001,0.01,0.0001
PRC,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COM,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAGrn,other,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAGvm,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.001,0.0,0.0
NI,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.001,0.0001
DTN,other,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LC,other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.01,0.01,0.001,0.01,0.0001,0.0001
